date,position,alpha_t,beta_t,main_trigger,aux_confirm,open_signal,signal_dir,deviation,final_pos_rolling,final_pos_oneshot
2024-02-01,0.0,0.1,0.3,False,True,False,1,0.3655913978494625,0.0,0.0
2024-02-02,0.0,0.1,0.3,False,False,False,1,0.37234042553191493,0.0,0.0
2024-02-05,0.0,0.1,0.3,False,False,False,1,0.2526315789473683,0.0,0.0
2024-02-06,0.0,0.1,0.3,False,True,False,-1,0.44791666666666674,0.0,0.0
2024-02-07,0.0,0.1,0.3,False,True,False,1,0.3711340206185567,0.0,0.0
2024-02-08,0.0,0.1,0.3,False,True,False,-1,0.09183673469387743,0.0,0.0
2024-02-19,0.0,0.1,0.3,False,False,False,-1,0.1515151515151516,0.0,0.0
2024-02-20,0.0,0.1,0.3,False,False,False,-1,0.32999999999999996,0.0,0.0
2024-02-21,0.0,0.1,0.3,False,True,False,1,0.693069306930693,0.0,0.0
2024-02-22,0.0,0.1,0.3,False,False,False,1,0.4411764705882353,0.0,0.0
2024-02-23,0.0,0.1,0.3,False,False,False,1,0.6990291262135921,0.5,0.5
2024-02-26,0.0,0.1,0.3,False,False,False,1,0.34615384615384626,1.0,1.0
2024-02-27,0.0,0.1,0.3,False,True,False,1,0.7428571428571429,0.5,0.5
2024-02-28,0.0,0.1,0.3,False,False,False,1,0.4811320754716979,1.0,1.0
2024-02-29,0.0,0.1,0.3,False,True,False,1,0.9532710280373833,0.25,0.25
2024-03-01,0.0,0.1,0.3,False,True,False,1,0.17592592592592582,0.5,0.5
2024-03-04,0.0,0.1,0.3,False,True,False,-1,0.3211009174311926,0.5,0.5
2024-03-05,0.0,0.1,0.3,False,False,False,-1,0.6454545454545454,0.25,0.25
2024-03-06,0.0,0.1,0.3,False,True,False,1,0.5765765765765767,0.25,0.25
2024-03-07,0.0,0.1,0.3,False,True,False,0,0.0,0.5,0.5
2024-03-08,0.0,0.1,0.3,False,True,False,1,0.23893805309734506,0.5,0.5
2024-03-11,0.0,0.1,0.3,False,False,False,1,0.6052631578947367,0.5,0.5
2024-03-12,0.0,0.1,0.3,False,False,False,1,0.6608695652173913,0.5,0.5
2024-03-13,0.0,0.1,0.3,False,True,False,-1,0.06896551724137923,0.5,0.5
2024-03-14,0.0,0.1,0.3,False,False,False,-1,0.735042735042735,0.25,0.25
2024-03-15,0.0,0.1,0.3,False,True,False,1,0.5847457627118644,0.25,0.25
2024-03-18,0.0,0.1,0.3,False,False,False,1,0.4873949579831933,0.25,0.25
2024-03-19,0.0,0.1,0.3,False,True,False,-1,0.4,0.25,0.25
2024-03-20,0.0,0.1,0.3,False,True,False,1,0.5454545454545454,0.15,0.15
2024-03-21,0.0,0.1,0.3,False,False,False,1,0.12295081967213117,0.15,0.15
2024-03-22,0.0,0.1,0.3,False,True,False,-1,0.5040650406504065,0.15,0.15
2024-03-25,0.0,0.1,0.3,True,False,False,-1,0.7661290322580645,0.075,0.075
2024-03-26,0.0,0.1,0.3,False,True,False,1,0.3999999999999999,0.0525,0.0525
2024-03-27,0.0,0.1,0.3,False,True,False,1,0.08730158730158744,0.175,0.175
2024-03-28,0.0,0.1,0.3,False,True,False,1,0.12598425196850394,0.24499999999999997,0.24499999999999997
2024-03-29,0.0,0.1,0.3,False,True,False,-1,0.203125,0.24499999999999997,0.24499999999999997
2024-04-01,1.0,0.1,0.3,True,True,True,1,0.8372093023255813,0.35,0.35
2024-04-02,1.0,0.1,0.3,False,True,False,-1,0.25384615384615383,0.5,0.5
2024-04-03,0.0,0.1,0.3,False,True,False,1,0.3816793893129773,0.35,0.35
2024-04-08,0.0,0.1,0.3,False,False,False,1,0.4772727272727273,0.35,0.35
2024-04-09,0.0,0.1,0.3,False,False,False,1,0.3308270676691729,0.35,0.35
2024-04-10,0.0,0.1,0.3,False,False,False,1,0.5,0.35,0.35
2024-04-11,0.0,0.1,0.3,False,True,False,-1,0.5629629629629629,0.35,0.35
2024-04-12,0.0,0.1,0.3,False,False,False,1,0.03676470588235303,0.0,0.0
2024-04-15,0.0,0.1,0.3,False,False,False,1,0.029197080291970767,0.0,0.0
2024-04-16,0.0,0.1,0.3,False,False,False,-1,0.5724637681159421,0.0,0.0
2024-04-17,0.0,0.1,0.3,False,True,False,1,0.4316546762589928,0.0,0.0
2024-04-18,0.0,0.1,0.3,False,True,False,-1,0.06428571428571428,0.0,0.0
2024-04-19,0.0,0.1,0.3,False,False,False,1,0.021276595744680993,0.0,0.0
2024-04-22,0.0,0.1,0.3,False,True,False,1,0.3943661971830985,0.0,0.0
2024-04-23,0.0,0.1,0.3,False,False,False,1,0.3076923076923075,0.0,0.0
2024-04-24,0.0,0.1,0.3,False,False,False,1,0.4444444444444444,0.0,0.0
2024-04-25,0.0,0.1,0.3,False,True,False,-1,0.01379310344827589,0.0,0.0
2024-04-26,0.0,0.1,0.3,False,True,False,1,0.1643835616438356,0.0,0.0
2024-04-29,0.0,0.1,0.3,True,False,False,1,0.8571428571428572,-0.7,-0.7
2024-04-30,0.0,0.1,0.3,False,True,False,-1,0.6013513513513513,-0.48999999999999994,-0.48999999999999994
2024-05-06,0.0,0.1,0.3,False,True,False,1,0.4026845637583891,-0.48999999999999994,-0.48999999999999994
2024-05-07,0.0,0.1,0.3,False,False,False,1,0.4933333333333334,-0.48999999999999994,-0.48999999999999994
2024-05-08,0.0,0.1,0.3,False,True,False,-1,0.3973509933774835,-0.48999999999999994,-0.48999999999999994
2024-05-09,0.0,0.1,0.3,False,False,False,1,0.019736842105263275,0.0,0.0
2024-05-10,0.0,0.1,0.3,False,False,False,-1,0.5751633986928104,0.0,0.0
2024-05-13,0.0,0.1,0.3,False,False,False,-1,0.19480519480519487,0.0,0.0
2024-05-14,0.0,0.1,0.3,False,False,False,-1,0.47741935483870956,0.0,0.0
2024-05-15,0.0,0.1,0.3,False,False,False,-1,0.46153846153846156,0.0,0.0
2024-05-16,0.0,0.1,0.3,False,True,False,1,0.4267515923566878,0.48999999999999994,0.48999999999999994
2024-05-17,0.0,0.1,0.3,False,False,False,1,0.6329113924050633,0.48999999999999994,0.48999999999999994
2024-05-20,0.0,0.1,0.3,False,True,False,1,0.018867924528301883,0.48999999999999994,0.48999999999999994
2024-05-21,0.0,0.1,0.3,False,True,False,1,0.34375,0.48999999999999994,0.48999999999999994
2024-05-22,0.0,0.1,0.3,False,True,False,1,0.04347826086956541,0.48999999999999994,0.48999999999999994
